region,one_comp_C0mean,one_comp_C0cov,two_comp_C0mean,two_comp_C0cov,two_comp_C1mean,two_comp_C1cov
ctx_lh_transversetemporal,1.075527025840745,0.05049388173662526,1.021798381821696,0.011050121417238401,1.4817085018233043,0.16187654604035454
ctx_lh_unknown,1.2439606891869548,0.07509614120629274,1.0984409728136852,0.01183826293921042,1.526392269577254,0.07700307618040092
ctx_rh_bankssts,1.418581938092789,0.27747526777610076,1.199796551966693,0.011503288009596867,2.1447993974000785,0.4740422963516677
ctx_rh_caudalanteriorcingulate,1.1358478428658485,0.041757964945245224,1.0832534767128026,0.011882583432663707,1.461109540225321,0.10361552211297119
ctx_rh_caudalmiddlefrontal,1.2239531808124349,0.18622479800091363,1.0642012056500123,0.010130596479791006,1.8997393240315559,0.36649708608646475
ctx_rh_cuneus,1.199338722942008,0.11387060882589195,1.102772831816996,0.0086414362880742,1.7858938454392936,0.35235961980141767
ctx_rh_entorhinal,1.3099950491865728,0.105939732678617,1.1182708887844928,0.009832708827325844,1.6010588274221869,0.11132139861051052
ctx_rh_frontalpole,1.0835394135981078,0.05347504376318691,1.0362653031647062,0.01955986488537565,1.5239073286783085,0.15465990318176567
ctx_rh_fusiform,1.366412038164255,0.15018506720521096,1.1851895692429304,0.006826592494553206,1.7958175783294834,0.2276650528248859
ctx_rh_inferiorparietal,1.3615709159074971,0.26326809114961763,1.1409574135227334,0.008804436626745103,2.057853867183771,0.42796685634927895
ctx_rh_inferiortemporal,1.4166831235581616,0.20240850773821498,1.2006187518435079,0.007921161733935414,1.938893026759651,0.286934368073795
ctx_rh_insula,1.1858621704966057,0.04242274347806579,1.1209138181688514,0.010507485702552999,1.4794794421761748,0.0814235714954407
ctx_rh_isthmuscingulate,1.284685612837889,0.16751642611022188,1.122208156270479,0.010624380222180893,1.8325907248914757,0.30736422240177624
ctx_rh_lateraloccipital,1.2719528063855676,0.16603818898592457,1.1255240911898885,0.008314068384566584,1.9133165104090188,0.35161476224329813
ctx_rh_lateralorbitofrontal,1.2746268793065578,0.056998505709843314,1.2040428623130885,0.011801943269935201,1.6422764825559317,0.13129654915539346
ctx_rh_lingual,1.1852211118178757,0.0809434387853692,1.0994424458114915,0.007467625433405411,1.6809311767885073,0.21730619667684992
ctx_rh_medialorbitofrontal,1.1971464140509955,0.04973239994787373,1.1344056501211985,0.011444159969565904,1.4974185988297806,0.12397410599094731
ctx_rh_middletemporal,1.3746552023271263,0.1903718430588076,1.173099176506147,0.007666911642865161,1.9221827744149957,0.2765464348111766
ctx_rh_paracentral,1.102055072723062,0.04129071786899527,1.0564398362989686,0.010376049240288208,1.479162915961571,0.1374546243003884
ctx_rh_parahippocampal,1.239888510778335,0.07545685051282686,1.1008975791861082,0.007896783210107877,1.5152897885836774,0.09519848216685924
ctx_rh_parsopercularis,1.2047788581665662,0.09338053650535152,1.1031400043897452,0.009679088419193493,1.7103438625852505,0.20274150848836417
ctx_rh_parsorbitalis,1.2132237564147088,0.05544584232413205,1.1595579609284903,0.013728984632213453,1.7030666481471428,0.169989079606462
ctx_rh_parstriangularis,1.1947890675830646,0.0607953702641588,1.1274360390575298,0.009590145968081928,1.6360770041639885,0.17182795480973873
ctx_rh_pericalcarine,1.1696528384329679,0.05303282373591587,1.1204544367370568,0.008630607496394762,1.649148806629613,0.23227753615092475
ctx_rh_postcentral,1.0351247440865894,0.04673290237203631,0.9809841159780824,0.006663506915358809,1.4505189434621524,0.1591234656520268
ctx_rh_posteriorcingulate,1.2461315425604647,0.11234832066616489,1.1220340605136931,0.009892809680064733,1.720374718898677,0.22012691952215444
ctx_rh_precentral,1.0770872355721965,0.04704824485891392,1.0116385535150818,0.006574419536079169,1.4134135688092309,0.11990678335369187
ctx_rh_precuneus,1.3080174423673754,0.21854953857899215,1.1275855164436726,0.008473277332833849,1.9426333178499082,0.4401883121396408
ctx_rh_rostralanteriorcingulate,1.158150664234686,0.04693317244109866,1.1160799804066253,0.015057911358436227,1.5707827605939464,0.1719429154331223
ctx_rh_rostralmiddlefrontal,1.204712097285012,0.11124336089924403,1.097403940300266,0.01228824016427175,1.7958876064291271,0.24347439870630838
ctx_rh_superiorfrontal,1.1327058634388438,0.07185451832377876,1.043385456945644,0.011062635378194541,1.5614833559723922,0.14153375046822794
ctx_rh_superiorparietal,1.1940426564737145,0.17373281850249467,1.0467115313775093,0.009440036874988246,1.848920985920549,0.37865514271419987
ctx_rh_superiortemporal,1.1886933391071899,0.0774462230318418,1.081775582001965,0.007429330142622411,1.5719080423660277,0.14057485640772596
ctx_rh_supramarginal,1.2326916362404365,0.1589167420269126,1.0859222291070008,0.008052235353894885,1.8259325333598972,0.3297056255133332
ctx_rh_temporalpole,1.2130189210454128,0.05818701492823002,1.1170372843928444,0.012274749213194412,1.496765638435623,0.08616895676357063
ctx_rh_transversetemporal,1.046485399913226,0.04626037243741492,1.001061405825755,0.011596412838474669,1.4689457333729699,0.17098574451895224
ctx_rh_unknown,1.2510225172010179,0.0698336277187949,1.1157995934202043,0.011268319805392406,1.4940484639389775,0.08316434199309784
